日付,レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,平均ST,全体平均ST,1着率,2着率,3着率,逃げ率,逃し率,差し率,まくり率,まくり差し率,差され率,まくられ率,まくり差され率
2024-03-09,桐生,2,一般,4,4376,藤田靖弘,39,静岡,52,A2,6.2,46.72,6.03,41.41,51,46.15,48,30.91,晴,西,8,8,6.98,2,まくり,4,0.16,1.15.6,0.153076923076923,0.156875,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-09,桐生,2,一般,5,4012,中村有裕,44,滋賀,55,A2,6.09,41.0,0.0,0.0,44,38.71,62,28.33,晴,西,8,8,7.05,5,まくり,5,0.18,1.17.7,0.1523333333333333,0.1513274336283186,0.5660377358490566,0.18867924528301888,0.07547169811320754,0.5660377358490566,0.0,0.0,0.0,0.0,0.1509433962264151,0.09433962264150944,0.18867924528301888
2024-03-09,桐生,2,一般,6,3659,藤生雄人,49,群馬,55,A2,6.45,50.0,6.27,46.63,50,48.72,59,29.82,晴,西,8,8,7.01,3,まくり,6,0.18,1.15.9,0.1971052631578947,0.1608560311284047,0.1111111111111111,0.24074074074074073,0.1111111111111111,0.0,0.5185185185185185,0.0,0.09259259259259259,0.0,0.0,0.0,0.0
2024-03-09,桐生,3,一般,1,3538,菊池峰晴,55,群馬,53,B1,5.44,34.41,5.61,34.13,71,44.12,39,25.0,晴,西,8,8,7.1,1,逃げ,1,0.13,1.15.1,0.1482978723404255,0.169763779527559,0.22916666666666666,0.20833333333333334,0.25,0.0,0.0,0.0,0.125,0.0625,0.0,0.0,0.0
2024-03-09,桐生,3,一般,2,4203,小倉康典,41,群馬,52,B1,3.83,17.05,4.61,27.43,60,24.24,32,37.04,晴,西,8,8,7.06,2,逃げ,2,0.14,1.16.0,0.1776315789473684,0.1563761467889908,0.08333333333333333,0.3125,0.16666666666666666,0.0,0.0,0.0,0.0625,0.020833333333333332,0.0,0.0,0.0
2024-03-09,桐生,3,一般,3,3922,菅沼佳昭,48,愛知,51,B1,3.61,14.61,3.82,23.53,18,27.5,54,30.91,晴,西,8,8,6.97,5,逃げ,3,0.15,1.17.9,0.1909523809523809,0.1916521739130434,0.07317073170731707,0.1951219512195122,0.12195121951219512,0.0,0.0,0.024390243902439025,0.0,0.04878048780487805,0.0,0.0,0.0
2024-03-09,桐生,3,一般,4,3686,鳥居塚孝,49,群馬,52,A2,5.73,35.71,6.0,38.85,31,28.13,27,32.79,晴,西,8,8,6.92,3,逃げ,4,0.16,1.16.3,0.1281578947368421,0.1489519650655021,0.11904761904761904,0.09523809523809523,0.14285714285714285,0.0,0.0,0.0,0.047619047619047616,0.07142857142857142,0.0,0.0,0.0
2024-03-09,桐生,3,一般,5,4772,石丸海渡,30,香川,58,A1,6.97,51.69,7.61,72.22,74,35.29,63,33.33,晴,西,8,8,6.94,6,逃げ,5,0.11,1.20.1,0.1196969696969697,0.1102448979591836,0.045454545454545456,0.13636363636363635,0.18181818181818182,0.045454545454545456,0.0,0.0,0.0,0.0,0.22727272727272727,0.36363636363636365,0.22727272727272727
2024-03-09,桐生,3,一般,6,4191,赤羽克也,42,埼玉,54,A1,6.21,42.86,5.91,37.18,64,46.15,45,45.24,晴,西,8,8,6.94,4,逃げ,6,0.19,1.17.2,0.1678048780487805,0.1480632411067193,0.0,0.11764705882352941,0.29411764705882354,0.0,0.4411764705882353,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-09,桐生,4,一般,1,4218,吉川喜継,42,滋賀,52,A1,6.65,53.64,6.0,38.89,11,23.81,38,25.0,晴,西,8,8,6.99,2,差し,1,0.18,1.15.0,0.1419047619047619,0.1652758620689655,0.034482758620689655,0.034482758620689655,0.20689655172413793,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0
