日付,レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,平均ST,全体平均ST,勝利回数,出走数,2着回数,3着回数,逃げ,逃し,差し,まくり,まくり差し,差され,まくられ,まくり差され,1着率,2着率,3着率,逃げ率,逃し率,差し率,まくり率,まくり差し率,差され率,まくられ率,まくり差され率
2025-02-07,鳴門,1,とるならなる,1,3662,大庭元明,55,福岡,58,A2,5.75,41.12,5.97,44.62,27,29.59,20,39.81,晴,西,3,3,6.88,1,逃げ,1,0.17,1.47.4,0.158125,0.155,25,48,13,1,24,0,0,0,0,6,9,6,0.5208333333333334,0.2708333333333333,0.020833333333333332,0.5,0.0,0.0,0.0,0.0,0.125,0.1875,0.125
2025-02-07,鳴門,1,とるならなる,2,4422,永井亮次,36,大阪,52,B1,4.77,29.46,4.77,25.71,33,30.15,33,26.09,晴,西,3,3,6.88,2,逃げ,2,0.21,1.49.3,0.1663157894736842,0.1962820512820512,8,38,9,4,0,15,2,4,0,0,0,0,0.21052631578947367,0.23684210526315788,0.10526315789473684,0.0,0.39473684210526316,0.05263157894736842,0.10526315789473684,0.0,0.0,0.0,0.0
2025-02-07,鳴門,1,とるならなる,3,4031,飯島　誠,46,埼玉,54,B1,4.33,20.0,4.75,25.0,23,39.59,54,46.41,晴,西,3,3,6.95,5,逃げ,3,0.29,.  .,0.1841176470588235,0.1918048780487805,1,34,6,11,0,0,1,0,0,0,0,0,0.029411764705882353,0.17647058823529413,0.3235294117647059,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0
2025-02-07,鳴門,1,とるならなる,4,5324,畑田希咲,21,兵庫,50,B2,1.49,0.0,1.0,0.0,31,34.65,19,32.63,晴,西,3,3,6.94,6,逃げ,4,0.47,.  .,0.1895238095238095,0.2107878787878788,0,21,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-07,鳴門,1,とるならなる,5,3982,福田　理,47,岡山,55,B1,3.69,15.38,5.27,31.82,14,32.09,22,35.18,晴,西,3,3,6.93,3,逃げ,5,0.25,1.50.9,0.18,0.1686060606060606,1,31,1,2,0,0,0,0,1,0,0,0,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0
2025-02-07,鳴門,1,とるならなる,6,5143,常盤海心,23,徳島,54,B1,4.26,19.75,3.77,20.34,25,32.51,21,30.27,晴,西,3,3,6.9,4,逃げ,6,0.17,1.50.9,0.218695652173913,0.214140127388535,0,23,1,3,0,0,0,0,0,0,0,0,0.0,0.043478260869565216,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-07,鳴門,2,どーなるなる,1,4052,興津　藍,43,徳島,50,B1,5.79,42.11,5.84,42.78,82,41.09,74,26.88,晴,西,3,3,6.89,5,差し,1,0.22,.  .,0.1615384615384615,0.1669787234042553,24,39,5,4,22,0,0,0,0,4,4,5,0.6153846153846154,0.1282051282051282,0.10256410256410256,0.5641025641025641,0.0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282
2025-02-07,鳴門,2,どーなるなる,2,5209,小野京平,27,福岡,57,B1,2.93,6.9,2.79,7.14,22,40.7,36,35.92,晴,西,3,3,6.96,6,差し,2,0.19,.  .,0.1620833333333333,0.1658333333333333,0,24,1,2,0,14,0,0,0,0,0,0,0.0,0.041666666666666664,0.08333333333333333,0.0,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-07,鳴門,2,どーなるなる,3,4782,浜崎準也,37,岡山,52,B1,5.4,34.43,6.04,43.48,73,34.43,34,35.11,晴,西,3,3,6.89,3,差し,3,0.14,1.50.5,0.1441666666666666,0.1562549800796812,5,48,8,10,0,0,1,3,0,0,0,0,0.10416666666666667,0.16666666666666666,0.20833333333333334,0.0,0.0,0.020833333333333332,0.0625,0.0,0.0,0.0,0.0
2025-02-07,鳴門,2,どーなるなる,4,3596,河上年昭,55,埼玉,56,B1,4.25,19.28,0.0,0.0,58,37.44,37,35.6,晴,西,3,3,6.93,1,差し,4,0.15,1.48.4,0.1689189189189189,0.1655188679245283,3,37,1,11,0,0,2,1,0,0,0,0,0.08108108108108109,0.02702702702702703,0.2972972972972973,0.0,0.0,0.05405405405405406,0.02702702702702703,0.0,0.0,0.0,0.0
