日付,レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,平均ST,全体平均ST,1着率,2-3着率,逃し率
2023-06-03,若松,4,一般戦,4,3928,林　恵祐,47,福岡,60,B1,4.96,29.08,4.36,25.26,61,48.08,59,0.0,晴,北東,2,2,6.83,6,まくり,4,0.13,.  .,0.16930232558139535,0.1730152671755725,0.08823529411764706,0.4411764705882353,0.5588235294117647
2023-06-03,若松,4,一般戦,5,4373,若狭奈美,34,岡山,47,A2,5.51,34.71,4.72,27.78,40,54.17,70,12.5,晴,北東,2,2,6.83,2,まくり,5,0.08,1.50.4,0.18289473684210528,0.1870940170940171,0.11428571428571428,0.4,0.0
2023-06-03,若松,4,一般戦,6,4370,山口達也,36,岡山,54,A1,7.3,56.48,7.08,56.0,44,41.73,75,0.0,晴,北東,2,2,6.89,3,まくり,6,0.06,1.52.2,0.17411764705882352,0.14129166666666668,0.14814814814814814,0.3333333333333333,0.0
2023-06-03,若松,5,進入固定戦隊,1,4199,北川潤二,40,愛知,56,A1,6.9,52.45,6.62,53.85,27,26.36,34,66.67,晴,北,2,2,6.84,1,逃げ,1,0.09,1.49.4,0.11153846153846154,0.12556338028169015,0.06666666666666667,0.36666666666666664,0.0
2023-06-03,若松,5,進入固定戦隊,2,4786,佐藤博亮,35,愛知,52,A2,7.0,54.32,6.57,42.86,16,35.54,73,0.0,晴,北,2,2,6.85,3,逃げ,2,0.12,1.52.2,0.12514285714285714,0.13295566502463055,0.041666666666666664,0.2916666666666667,0.0
2023-06-03,若松,5,進入固定戦隊,3,3414,加瀬智宏,53,群馬,55,B1,5.36,32.89,0.0,0.0,11,34.13,69,55.56,晴,北,2,2,6.83,4,逃げ,3,0.14,1.53.4,0.16025,0.15331632653061225,0.4166666666666667,0.3611111111111111,0.0
2023-06-03,若松,5,進入固定戦隊,4,5089,前田　翔,23,愛知,51,A2,6.27,46.15,3.33,0.0,24,39.53,19,12.5,晴,北,2,2,6.8,2,逃げ,4,0.16,1.50.6,0.1890625,0.1681896551724138,0.08823529411764706,0.6176470588235294,0.5882352941176471
2023-06-03,若松,5,進入固定戦隊,5,5202,宮崎つぐ,19,大阪,46,B1,3.58,9.09,2.0,6.67,26,34.11,44,0.0,晴,北,2,2,6.85,5,逃げ,5,0.19,.  .,0.13604651162790696,0.15848275862068967,0.06060606060606061,0.5151515151515151,0.0
2023-06-03,若松,5,進入固定戦隊,6,5226,藤田俊祐,21,東京,53,B1,5.24,34.29,0.0,0.0,32,25.44,43,0.0,晴,北,2,2,6.82,6,逃げ,6,0.14,.  .,0.17324324324324325,0.164,0.09375,0.40625,0.0
2023-06-03,若松,6,一般戦,1,3297,藤丸光一,56,福岡,50,A2,5.56,35.11,5.92,44.36,53,41.23,53,0.0,晴,北,2,2,6.74,2,差し,1,0.15,1.51.3,0.15857142857142859,0.18196721311475408,0.029411764705882353,0.17647058823529413,0.0
2023-06-03,若松,6,一般戦,2,4989,石原　翼,26,静岡,53,B1,5.23,34.34,0.0,0.0,62,35.4,48,44.44,晴,北,2,2,6.74,1,差し,2,0.06,1.50.1,0.14921052631578946,0.14117924528301887,0.03333333333333333,0.3333333333333333,0.0
2023-06-03,若松,6,一般戦,3,4522,古澤光紀,35,福岡,55,A1,7.11,52.21,7.13,53.85,17,19.05,62,12.5,晴,北,2,2,6.87,5,差し,3,0.13,.  .,0.13585365853658538,0.13412000000000002,0.3103448275862069,0.3103448275862069,0.0
2023-06-03,若松,6,一般戦,4,3933,山地正樹,46,岡山,56,A2,6.05,47.3,7.08,58.33,30,39.5,27,30.0,晴,北,2,2,6.83,3,差し,4,0.13,1.52.4,0.15456521739130435,0.17398625429553266,0.0625,0.4375,0.59375
2023-06-03,若松,6,一般戦,5,4403,木下大將,38,福岡,53,A1,5.68,35.34,5.36,27.06,4,36.59,57,0.0,晴,北,2,2,6.74,4,差し,5,0.11,1.53.9,0.1723684210526316,0.16390697674418606,0.19230769230769232,0.2692307692307692,0.0
2023-06-03,若松,6,一般戦,6,5146,野田彩加,20,山口,50,B1,3.39,8.75,0.0,0.0,8,25.21,55,0.0,晴,北,2,2,6.78,6,差し,6,0.16,.  .,0.24302325581395348,0.23964497041420119,0.0,0.40625,0.0
2023-06-03,若松,7,一般戦,1,4513,河野真也,34,福岡,53,A2,5.53,36.7,5.4,35.29,22,35.29,25,0.0,晴,北,2,2,6.76,2,抜き,1,0.14,1.51.5,0.14974358974358973,0.15710084033613445,0.06896551724137931,0.1724137931034483,0.0
2023-06-03,若松,7,一般戦,2,4017,向井美鈴,43,山口,45,A2,6.1,43.17,5.3,27.03,7,27.87,13,0.0,晴,北,2,2,6.87,5,抜き,4,0.31,.  .,0.1751111111111111,0.17907630522088355,0.0,0.21739130434782608,0.0
2023-06-03,若松,7,一般戦,3,4976,金山立樹,29,東京,54,B1,4.5,24.79,4.9,10.0,47,32.41,66,0.0,晴,北,2,2,6.82,3,抜き,5,0.21,1.53.4,0.18477272727272728,0.18733050847457627,0.46153846153846156,0.23076923076923078,0.0
2023-06-03,若松,7,一般戦,4,5027,重冨勇哉,26,山口,55,B1,5.01,28.07,3.67,13.33,9,29.51,22,0.0,晴,北,2,2,6.86,6,抜き,2,0.14,.  .,0.15029411764705883,0.1511111111111111,0.05555555555555555,0.2777777777777778,0.5
2023-06-03,若松,7,一般戦,5,3838,伊藤啓三,47,埼玉,52,A2,5.85,43.7,6.2,45.0,57,24.56,58,0.0,晴,北,2,2,6.84,4,抜き,6,0.22,1.54.7,0.12578947368421053,0.13455598455598455,0.0,0.23529411764705882,0.0
2023-06-03,若松,7,一般戦,6,3897,白井英治,46,山口,54,A1,8.76,82.35,8.85,72.73,38,33.33,63,44.44,晴,北,2,2,6.87,1,抜き,3,0.21,1.49.7,0.14823529411764705,0.1385593220338983,0.0,0.2,0.0
2023-06-03,若松,8,エイトビート,1,3502,渡邉英児,53,静岡,54,A2,5.6,39.5,5.85,29.63,1,24.79,37,0.0,晴,北,2,2,6.75,1,逃げ,1,0.14,1.50.1,0.17807692307692308,0.17461818181818184,0.0,0.0,0.0
