レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,平均ST,全体平均ST,1着率,2-3着率,逃し率
多摩川,6,予選,4,4144,石塚久也,43,埼玉,52,A1,6.59,54.69,6.96,55.7,25,28.97,45,30.93,曇り,北,2,2,6.78,2,逃げ,4,0.08,1.51.0,0.15105263157894738,0.15977477477477478,0.14285714285714285,0.35714285714285715,0.0
多摩川,6,予選,5,5359,佐藤世那,18,東京,54,B2,1.77,0.0,1.69,0.0,66,21.05,54,35.35,曇り,北,2,2,6.77,5,逃げ,6,0.24,.  .,0.20454545454545456,0.20539682539682538,0.11627906976744186,0.3953488372093023,0.0
多摩川,6,予選,6,4133,高橋正男,44,兵庫,52,A1,6.03,44.17,5.83,41.3,40,35.79,80,35.92,曇り,北,2,2,6.78,6,逃げ,5,0.14,.  .,0.17454545454545453,0.14982456140350878,0.08333333333333333,0.3333333333333333,0.0
多摩川,7,予選,1,3684,清水攻二,50,山口,53,A2,5.4,33.67,5.67,33.33,33,27.96,37,40.38,曇り,北東,4,3,6.82,1,逃げ,1,0.11,1.50.2,0.13333333333333333,0.17980392156862746,0.10810810810810811,0.43243243243243246,0.0
多摩川,7,予選,2,3875,廣中良一,47,山口,52,B1,4.03,19.44,0.0,0.0,43,34.21,63,39.18,曇り,北東,4,3,6.78,2,逃げ,2,0.15,1.51.5,0.1597560975609756,0.17786069651741293,0.23076923076923078,0.38461538461538464,0.0
多摩川,7,予選,3,3448,高山秀雄,54,群馬,53,B1,4.5,19.42,4.44,25.0,11,38.46,65,26.67,曇り,北東,4,3,6.74,4,逃げ,3,0.15,1.53.9,0.1742857142857143,0.19195767195767197,0.058823529411764705,0.35294117647058826,0.7647058823529411
多摩川,7,予選,4,4608,荒井翔伍,34,東京,55,A2,5.79,37.5,6.12,48.33,36,19.8,82,26.26,曇り,北東,4,3,6.85,5,逃げ,5,0.18,.  .,0.14515151515151514,0.1555203619909502,0.030303030303030304,0.3333333333333333,0.0
多摩川,7,予選,5,4832,権藤俊光,37,大阪,51,A1,6.76,51.85,5.56,36.0,56,32.26,75,28.28,曇り,北東,4,3,6.83,3,逃げ,4,0.13,1.52.8,0.10631578947368421,0.12809302325581395,0.09375,0.28125,0.0
多摩川,7,予選,6,4956,齊藤大将,29,東京,56,B1,4.58,27.06,4.05,24.39,60,36.79,21,42.71,曇り,北東,4,3,6.8,6,逃げ,6,0.27,.  .,0.1753333333333333,0.16797814207650272,0.0,0.13333333333333333,0.0
多摩川,8,予選,1,4470,平田健之,37,三重,53,A2,6.24,48.09,6.07,37.29,74,39.18,51,29.29,曇り,北,2,2,6.74,1,逃げ,1,0.13,1.57.7,0.14209302325581397,0.15696850393700787,0.0,0.09523809523809523,0.0
多摩川,8,予選,3,3984,坂口　周,46,三重,54,A2,6.45,46.72,6.71,50.0,21,24.21,72,37.14,曇り,北,2,2,6.78,5,逃げ,3,0.08,.  .,0.17733333333333334,0.16307692307692306,0.2,0.35,0.0
多摩川,8,予選,4,5274,城間盛渚,22,福岡,53,B1,4.51,27.27,3.0,0.0,55,38.95,27,27.45,曇り,北,2,2,6.75,4,逃げ,4,0.17,2.06.8,0.17181818181818184,0.1878857142857143,0.0,0.16,0.36
多摩川,8,予選,5,5285,若林　麗,25,東京,52,B2,2.01,2.22,1.11,0.0,63,37.96,39,35.35,曇り,北,2,2,6.75,3,逃げ,5,0.09,2.02.9,0.20285714285714285,0.19681564245810054,0.0,0.17857142857142858,0.0
多摩川,8,予選,6,4441,末永由楽,38,岡山,54,A1,6.31,46.28,0.0,0.0,75,33.65,81,22.58,曇り,北,2,2,6.82,2,逃げ,6,0.05,2.00.6,0.1521951219512195,0.13277566539923955,0.0,0.2857142857142857,0.0
多摩川,9,予選特賞,1,4561,藤山翔大,33,大阪,54,A1,5.62,41.67,0.0,0.0,57,33.01,68,32.67,曇り,北東,3,2,6.75,1,逃げ,1,0.21,1.50.3,0.2080952380952381,0.21237864077669902,0.0,0.3,0.0
多摩川,9,予選特賞,2,4298,宮下元胤,41,愛知,55,A2,5.91,39.83,6.36,44.44,35,31.37,41,32.0,曇り,北東,3,2,6.81,3,逃げ,2,0.12,1.51.7,0.1355263157894737,0.15035087719298246,0.0,0.19047619047619047,0.0
多摩川,9,予選特賞,3,3569,増田　進,53,東京,53,B1,4.47,24.59,3.38,11.76,72,39.42,28,26.67,曇り,北東,3,2,6.83,6,逃げ,3,0.12,.  .,0.18333333333333335,0.18630705394190872,0.15384615384615385,0.38461538461538464,0.0
