ì˙ït,ÉåÅ[ÉXèÍ,ÉåÅ[ÉXî‘çÜ,ÉåÅ[ÉXéÌï ,í¯î‘,ìoò^î‘çÜ,ëIéËñº,îNóÓ,éxïî,ëÃèd,ãâï ,ëSçëèüó¶,ëSçë2òAëŒó¶,ìñínèüó¶,ìñín2òAëŒó¶,ÉÇÅ[É^Å[î‘çÜ,ÉÇÅ[É^Å[2òAëŒó¶,É{Å[Égî‘çÜ,É{Å[Ég2òAëŒó¶,ìVåÛ,ïóå¸,ïóë¨(m),îgçÇ(cm),ìWé¶É^ÉCÉÄ,íÖèá,åàÇ‹ÇËéË,êiì¸,ÉXÉ^Å[ÉgÉ^ÉCÉ~ÉìÉO,ÉåÅ[ÉXÉ^ÉCÉÄ,ïΩãœST,ëSëÃïΩãœST,èüóòâÒêî,èoëñêî,2íÖâÒêî,3íÖâÒêî,ì¶Ç∞,ì¶Çµ,ç∑Çµ,Ç‹Ç≠ÇË,Ç‹Ç≠ÇËç∑Çµ,ç∑Ç≥ÇÍ,Ç‹Ç≠ÇÁÇÍ,Ç‹Ç≠ÇËç∑Ç≥ÇÍ,1íÖó¶,2íÖó¶,3íÖó¶,ì¶Ç∞ó¶,ì¶Çµó¶,ç∑Çµó¶,Ç‹Ç≠ÇËó¶,Ç‹Ç≠ÇËç∑Çµó¶,ç∑Ç≥ÇÍó¶,Ç‹Ç≠ÇÁÇÍó¶,Ç‹Ç≠ÇËç∑Ç≥ÇÍó¶
2024-11-21,ìÇí√,4,Ç®ÇÕÇSêÌó\ëI,5,4489,ä‚êÏêmém,38,ëÂç„,54,B1,5.25,29.29,5.17,31.43,68,48.89,73,43.04,ê∞,ñk,3,3,6.89,4,ì¶Ç∞,5,0.1,1.51.8,0.1548484848484848,0.1606976744186046,0.0,33.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12121212121212122,0.24242424242424243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-21,ìÇí√,4,Ç®ÇÕÇSêÌó\ëI,6,4794,òaìcëÒñÁ,34,ï∫å…,53,A1,6.55,46.15,6.26,51.16,26,21.95,69,32.28,ê∞,ñk,3,3,6.78,2,ì¶Ç∞,6,0.08,1.51.4,0.0995348837209302,0.1274909090909091,2.0,43.0,9.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.20930232558139536,0.18604651162790697,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.0
2024-11-21,ìÇí√,5,ó\ëIì¡è‹Ça,1,4403,ñÿâ∫ëÂõí,39,ïüâ™,52,A2,5.59,36.94,5.86,38.1,24,35.42,38,32.47,ê∞,ñk,3,3,6.9,1,ì¶Ç∞,1,0.03,1.48.7,0.1302272727272727,0.1434632034632034,27.0,44.0,6.0,2.0,24.0,0.0,0.0,0.0,0.0,2.0,10.0,5.0,0.6136363636363636,0.13636363636363635,0.045454545454545456,0.5454545454545454,0.0,0.0,0.0,0.0,0.045454545454545456,0.22727272727272727,0.11363636363636363
2024-11-21,ìÇí√,5,ó\ëIì¡è‹Ça,2,5270,è¨ã å[ëæ,23,ç≤âÍ,53,B1,3.6,16.13,2.3,6.06,11,18.18,56,26.17,ê∞,ñk,3,3,6.93,6,ì¶Ç∞,2,0.19,1.55.1,0.1423809523809523,0.1579255319148936,1.0,21.0,2.0,3.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.09523809523809523,0.14285714285714285,0.0,0.5714285714285714,0.047619047619047616,0.0,0.0,0.0,0.0,0.0
2024-11-21,ìÇí√,5,ó\ëIì¡è‹Ça,3,4977,înñÏÅ@ós,30,ëÂç„,56,A2,6.25,44.74,4.88,37.5,50,32.61,90,45.12,ê∞,ñk,3,3,6.92,5,ì¶Ç∞,3,0.13,1.55.0,0.144313725490196,0.1421912350597609,9.0,51.0,17.0,6.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,0.17647058823529413,0.3333333333333333,0.11764705882352941,0.0,0.0,0.0392156862745098,0.0392156862745098,0.09803921568627451,0.0,0.0,0.0
2024-11-21,ìÇí√,5,ó\ëIì¡è‹Ça,4,4292,ñÉê∂êTâÓ,39,çLìá,52,A1,6.44,46.3,6.2,47.5,61,41.3,78,31.01,ê∞,ñk,3,3,6.94,3,ì¶Ç∞,4,0.12,1.52.4,0.1229268292682926,0.1339370078740157,9.0,41.0,9.0,13.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.21951219512195122,0.21951219512195122,0.3170731707317073,0.0,0.0,0.024390243902439025,0.0975609756097561,0.07317073170731707,0.0,0.0,0.0
2024-11-21,ìÇí√,5,ó\ëIì¡è‹Ça,5,4023,éƒìcóFòa,47,ïüâ™,52,B1,4.4,21.28,3.79,15.79,70,34.78,79,39.87,ê∞,ñk,3,3,6.93,4,ì¶Ç∞,6,0.25,1.53.3,0.1664102564102564,0.164516129032258,2.0,39.0,2.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.05128205128205128,0.05128205128205128,0.15384615384615385,0.0,0.0,0.0,0.02564102564102564,0.02564102564102564,0.0,0.0,0.0
2024-11-21,ìÇí√,5,ó\ëIì¡è‹Ça,6,3161,å√èÍãPã`,64,ëÂç„,53,A2,5.41,33.33,6.3,40.0,48,37.78,44,33.96,ê∞,ñk,3,3,6.96,2,ì¶Ç∞,5,0.2,1.51.9,0.17,0.1734865900383141,0.0,34.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.20588235294117646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-21,ìÇí√,6,ó\ëI,1,3769,ç≤í|çPïF,51,é†âÍ,52,B1,5.65,33.75,5.42,27.08,28,34.15,43,35.44,ê∞,ñk,3,3,6.89,5,î≤Ç´,1,0.17,1.54.6,0.1138709677419354,0.1530645161290322,18.0,31.0,6.0,4.0,18.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,0.5806451612903226,0.1935483870967742,0.12903225806451613,0.5806451612903226,0.0,0.0,0.0,0.0,0.12903225806451613,0.12903225806451613,0.0967741935483871
2024-11-21,ìÇí√,6,ó\ëI,2,3385,ìnÁ≥ñrçL,55,ìåãû,51,A2,5.66,38.38,5.09,36.36,34,19.57,61,39.24,ê∞,ñk,3,3,6.91,1,î≤Ç´,2,0.16,1.50.2,0.1432,0.1661077844311377,4.0,25.0,10.0,5.0,0.0,15.0,2.0,2.0,0.0,0.0,0.0,0.0,0.16,0.4,0.2,0.0,0.6,0.08,0.08,0.0,0.0,0.0,0.0
2024-11-21,ìÇí√,6,ó\ëI,3,4134,êôéRãMîé,44,ìåãû,54,A2,6.58,47.9,0.0,0.0,18,39.13,67,41.45,ê∞,ñk,3,3,6.97,4,î≤Ç´,3,0.11,1.53.3,0.1567441860465116,0.1554583333333333,7.0,43.0,17.0,8.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.16279069767441862,0.3953488372093023,0.18604651162790697,0.0,0.0,0.0,0.06976744186046512,0.09302325581395349,0.0,0.0,0.0
2024-11-21,ìÇí√,6,ó\ëI,4,3484,é≈ìcç_é°,53,ï∫å…,53,A2,5.8,44.92,6.17,39.13,66,26.67,42,28.13,ê∞,ñk,3,3,6.9,2,î≤Ç´,4,0.07,1.51.3,0.1554054054054054,0.1582196969696969,2.0,37.0,12.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.05405405405405406,0.32432432432432434,0.13513513513513514,0.0,0.0,0.0,0.0,0.05405405405405406,0.0,0.0,0.0
2024-11-21,ìÇí√,6,ó\ëI,5,3721,éÁìcèrâÓ,49,é†âÍ,55,A1,6.94,45.56,7.35,41.18,52,19.15,34,31.85,ê∞,ñk,3,3,7.05,3,î≤Ç´,5,0.11,1.52.3,0.1326666666666666,0.1169417475728155,7.0,30.0,5.0,4.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.23333333333333334,0.16666666666666666,0.13333333333333333,0.0,0.0,0.1,0.03333333333333333,0.06666666666666667,0.0,0.0,0.0
2024-11-21,ìÇí√,6,ó\ëI,6,3967,óÈñÿñŒçÇ,45,à§ím,58,B1,4.84,26.6,0.0,0.0,22,48.78,64,33.55,ê∞,ñk,3,3,6.98,6,î≤Ç´,6,0.21,1.56.7,0.2262962962962963,0.2006770833333333,0.0,27.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.14814814814814814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-21,ìÇí√,7,ó\ëI,1,4373,é·ã∑ìﬁî¸,36,â™éR,47,B1,5.9,43.75,5.7,30.0,69,15.56,70,35.22,ê∞,ñk,4,4,6.87,2,Ç‹Ç≠ÇËç∑Çµ,1,0.11,1.51.3,0.19375,0.1822702702702702,8.0,32.0,13.0,5.0,8.0,0.0,0.0,0.0,0.0,6.0,9.0,7.0,0.25,0.40625,0.15625,0.25,0.0,0.0,0.0,0.0,0.1875,0.28125,0.21875
2024-11-21,ìÇí√,7,ó\ëI,2,3054,ñkêÏçKìT,61,çLìá,59,A2,4.93,27.5,4.33,33.33,59,37.25,57,38.96,ê∞,ñk,4,4,7.01,4,Ç‹Ç≠ÇËç∑Çµ,2,0.14,1.54.1,0.1727272727272727,0.1702684563758389,3.0,22.0,4.0,9.0,0.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.18181818181818182,0.4090909090909091,0.0,0.45454545454545453,0.09090909090909091,0.045454545454545456,0.0,0.0,0.0,0.0
