日付,レース場,レース番号,レース種別,艇番,登録番号,選手名_x,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,選手名_y,出走数,勝利回数,2着回数,3着回数,平均ST,逃げ,差し,まくり,まくり差し,抜き,恵まれ,差され,まくられ,まくり差され,逃し,全体平均ST,1着率,2着率,3着率,逃げ率,逃し率,差し率,まくり率,まくり差し率,差され率,まくられ率,まくり差され率
2022-01-09,尼崎,4,一般,5,3881,浦上拓也,48,大阪,54,A2,5.41,33.08,5.31,35.42,31,31.82,17,42.14,晴,南西,2,0,6.9,5,逃げ,4,0.13,1.53.6,浦上拓也,44.0,1.0,5.0,14.0,0.1822727272727272,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1589615384615384,0.022727272727272728,0.11363636363636363,0.3181818181818182,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0
2022-01-09,尼崎,4,一般,6,3327,野長瀬正,54,静岡,54,A2,5.93,43.33,6.61,58.06,17,43.24,18,40.0,晴,南西,2,0,6.85,4,逃げ,6,0.19,1.53.5,野長瀬正孝,29.0,2.0,2.0,7.0,0.2175862068965517,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1836286919831223,0.06896551724137931,0.06896551724137931,0.2413793103448276,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0
2022-01-09,尼崎,5,一般,1,4654,篠田優也,35,兵庫,55,B1,5.09,27.54,5.05,32.38,15,32.67,11,29.86,晴,南西,1,0,6.79,1,逃げ,1,0.16,1.49.0,篠田優也,31.0,21.0,4.0,1.0,0.17,21.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,0.1680402010050251,0.6774193548387096,0.12903225806451613,0.03225806451612903,0.6774193548387096,0.0,0.0,0.0,0.0,0.06451612903225806,0.12903225806451613,0.12903225806451613
2022-01-09,尼崎,5,一般,2,3220,二橋　学,57,静岡,50,B1,4.2,18.09,5.33,38.89,51,22.37,15,35.14,晴,南西,1,0,6.93,3,逃げ,2,0.17,1.51.7,二橋学,39.0,1.0,8.0,6.0,0.2051282051282051,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.1870334928229665,0.02564102564102564,0.20512820512820512,0.15384615384615385,0.0,0.38461538461538464,0.02564102564102564,0.0,0.0,0.0,0.0,0.0
2022-01-09,尼崎,5,一般,3,4758,富樫麗加,32,東京,52,A2,4.69,26.67,6.57,57.14,57,37.91,32,32.89,晴,南西,1,0,6.81,2,逃げ,3,0.16,1.49.3,富樫麗加,28.0,0.0,8.0,7.0,0.1410714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1663829787234042,0.0,0.2857142857142857,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-09,尼崎,5,一般,4,4250,藤川利文,39,福岡,54,B1,4.31,26.56,3.84,9.68,12,34.42,64,35.71,晴,南西,1,0,6.92,6,逃げ,4,0.24,1.56.7,藤川利文,32.0,1.0,5.0,0.0,0.195625,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1877245508982036,0.03125,0.15625,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0
2022-01-09,尼崎,5,一般,5,4527,高野心吾,33,愛知,51,B1,4.2,21.59,3.81,18.75,39,26.75,69,22.97,晴,南西,1,0,6.8,5,逃げ,5,0.21,1.53.4,高野心吾,35.0,2.0,4.0,3.0,0.1714285714285714,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1737320574162679,0.05714285714285714,0.11428571428571428,0.08571428571428572,0.0,0.0,0.02857142857142857,0.0,0.02857142857142857,0.0,0.0,0.0
2022-01-09,尼崎,5,一般,6,4603,谷川将太,33,長崎,53,A2,5.21,35.29,4.53,21.05,29,23.23,58,40.85,晴,南西,1,0,6.76,4,逃げ,6,0.18,1.51.9,谷川将太,32.0,1.0,2.0,7.0,0.16,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1586585365853658,0.03125,0.0625,0.21875,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0
2022-01-09,尼崎,6,昼どきピンク,1,3455,谷本幸司,50,愛知,51,A2,5.36,35.8,4.22,22.22,5,32.68,14,34.06,晴,南,1,0,6.81,1,逃げ,1,0.18,1.48.8,谷本幸司,32.0,15.0,7.0,3.0,0.1521875,15.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,3.0,0.0,0.1665989847715736,0.46875,0.21875,0.09375,0.46875,0.0,0.0,0.0,0.0,0.09375,0.28125,0.09375
2022-01-09,尼崎,6,昼どきピンク,2,5126,山下大輝,25,兵庫,52,B1,2.98,9.68,2.2,3.92,20,40.26,70,28.57,晴,南,1,0,6.82,6,逃げ,3,0.11,1.56.3,山下大輝,13.0,2.0,1.0,2.0,0.1446153846153846,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.1979629629629629,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.0,0.6153846153846154,0.15384615384615385,0.0,0.0,0.0,0.0,0.0
