ì˙ït,ÉåÅ[ÉXèÍ,ÉåÅ[ÉXî‘çÜ,ÉåÅ[ÉXéÌï ,í¯î‘,ìoò^î‘çÜ,ëIéËñº,îNóÓ,éxïî,ëÃèd,ãâï ,ëSçëèüó¶,ëSçë2òAëŒó¶,ìñínèüó¶,ìñín2òAëŒó¶,ÉÇÅ[É^Å[î‘çÜ,ÉÇÅ[É^Å[2òAëŒó¶,É{Å[Égî‘çÜ,É{Å[Ég2òAëŒó¶,ìVåÛ,ïóå¸,ïóë¨(m),îgçÇ(cm),ìWé¶É^ÉCÉÄ,íÖèá,åàÇ‹ÇËéË,êiì¸,ÉXÉ^Å[ÉgÉ^ÉCÉ~ÉìÉO,ÉåÅ[ÉXÉ^ÉCÉÄ,ïΩãœST,ëSëÃïΩãœST,1íÖó¶,2íÖó¶,3íÖó¶,ì¶Ç∞ó¶,ì¶Çµó¶,ç∑Çµó¶,Ç‹Ç≠ÇËó¶,Ç‹Ç≠ÇËç∑Çµó¶,ç∑Ç≥ÇÍó¶,Ç‹Ç≠ÇÁÇÍó¶,Ç‹Ç≠ÇËç∑Ç≥ÇÍó¶
2024-01-04,ëÂë∫,2,ó\ëI,5,4213,èdïxêLñÁ,39,í∑çË,54,B1,4.43,28.0,4.55,23.14,71,29.37,34,31.43,ê∞,ñkêº,2,1,6.81,5,ì¶Ç∞,4,0.16,.  .,0.171875,0.1775113122171945,0.0,0.038461538461538464,0.19230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,ëÂë∫,2,ó\ëI,6,4855,ç]ì™å´ëæ,27,í∑çË,54,B2,3.8,17.5,3.86,19.57,18,36.3,67,30.88,ê∞,ñkêº,2,1,6.93,4,ì¶Ç∞,6,0.16,1.53.3,0.2109523809523809,0.1873880597014925,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,ëÂë∫,3,ó\ëI,1,5011,çÇñÿå\ëÂ,26,í∑çË,53,B1,3.76,14.63,3.76,13.79,65,32.85,13,32.09,ê∞,ìå,1,1,6.9,1,î≤Ç´,1,0.14,1.49.4,0.142,0.1607960199004975,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
2024-01-04,ëÂë∫,3,ó\ëI,2,4241,ëÂã¯èdçK,38,í∑çË,52,B1,4.78,23.46,5.2,32.77,72,24.39,32,30.0,ê∞,ìå,1,1,6.91,2,î≤Ç´,2,0.17,1.49.9,0.1905405405405405,0.1816097560975609,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,ëÂë∫,3,ó\ëI,3,5086,ñ{ë∫Å@ëÂ,24,í∑çË,53,B1,5.08,28.75,4.74,25.0,67,42.42,46,34.19,ê∞,ìå,1,1,6.79,4,î≤Ç´,3,0.11,1.51.6,0.1456,0.1531736526946107,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,ëÂë∫,3,ó\ëI,4,4393,ìcíÜçFñæ,37,ïüâ™,58,B2,3.05,3.33,4.65,16.13,31,22.96,40,38.69,ê∞,ìå,1,1,6.91,5,î≤Ç´,4,0.13,.  .,0.1841176470588235,0.184,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,ëÂë∫,3,ó\ëI,5,4352,â∫ûäóYëæ,37,í∑çË,52,A2,7.15,54.41,7.27,57.63,39,41.91,19,30.88,ê∞,ìå,1,1,6.9,3,î≤Ç´,5,0.09,1.50.1,0.1289655172413793,0.1308837209302325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,ëÂë∫,3,ó\ëI,6,5250,ìàìcóLó¢,21,í∑çË,49,B2,2.23,5.0,1.38,0.0,14,35.07,36,30.28,ê∞,ìå,1,1,6.83,6,î≤Ç´,6,0.24,.  .,0.251046511627907,0.2499186991869918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,ëÂë∫,4,ó\ëI,1,4705,ãgêÏóEçÏ,35,í∑çË,54,B1,4.15,23.53,4.39,25.49,70,36.36,41,36.17,ê∞,ìÏìå,1,1,6.87,2,ç∑Çµ,1,0.19,1.49.9,0.1788888888888889,0.1610502283105023,0.46938775510204084,0.2857142857142857,0.14285714285714285,0.3673469387755102,0.0,0.0,0.0,0.0,0.12244897959183673,0.1836734693877551,0.1836734693877551
2024-01-04,ëÂë∫,4,ó\ëI,2,4171,â|Å@çKéi,41,í∑çË,52,A1,5.98,38.14,6.79,49.73,35,25.0,75,34.15,ê∞,ìÏìå,1,1,6.9,1,ç∑Çµ,2,0.16,1.49.1,0.14825,0.1813584905660377,0.022222222222222223,0.3111111111111111,0.28888888888888886,0.0,0.4888888888888889,0.022222222222222223,0.0,0.0,0.0,0.0,0.0
2024-01-04,ëÂë∫,4,ó\ëI,3,5124,è„ëÎà∫ñÁ,27,ç≤âÍ,53,B1,3.88,17.58,2.63,6.25,63,28.67,18,33.33,ê∞,ìÏìå,1,1,6.87,6,ç∑Çµ,5,0.21,.  .,0.15775,0.1616666666666666,0.08333333333333333,0.1388888888888889,0.2222222222222222,0.0,0.0,0.05555555555555555,0.027777777777777776,0.0,0.0,0.0,0.0
2024-01-04,ëÂë∫,4,ó\ëI,4,4332,ë∫è„è≤àÍ,40,ïüâ™,56,B1,3.38,10.42,4.78,28.13,37,29.2,26,23.14,ê∞,ìÏìå,1,1,6.81,4,ç∑Çµ,3,0.19,1.51.8,0.1920833333333333,0.180703125,0.08333333333333333,0.19444444444444445,0.3611111111111111,0.0,0.0,0.027777777777777776,0.05555555555555555,0.0,0.0,0.0,0.0
2024-01-04,ëÂë∫,4,ó\ëI,5,4924,íÜñkÅ@ó¡,31,í∑çË,47,B2,4.35,17.31,4.19,20.66,76,47.73,39,33.33,ê∞,ìÏìå,1,1,6.83,5,ç∑Çµ,6,0.2,.  .,0.1632142857142857,0.1667808219178082,0.12121212121212122,0.21212121212121213,0.2727272727272727,0.0,0.0,0.0,0.030303030303030304,0.09090909090909091,0.0,0.0,0.0
2024-01-04,ëÂë∫,4,ó\ëI,6,4151,â∫âÕó_éj,41,ïüâ™,53,B1,5.66,30.11,4.59,18.18,51,37.98,27,37.23,ê∞,ìÏìå,1,1,6.82,3,ç∑Çµ,4,0.25,1.50.9,0.2231428571428571,0.1984905660377358,0.0,0.05555555555555555,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,ëÂë∫,5,ó\ëI,1,4981,ñqéRì÷ñÁ,27,ç≤âÍ,52,B1,5.07,28.42,3.56,22.22,27,24.43,14,16.54,ê∞,ìå,1,1,6.92,1,ì¶Ç∞,1,0.16,1.48.5,0.1396774193548387,0.1540167364016736,0.17647058823529413,0.23529411764705882,0.11764705882352941,0.17647058823529413,0.0,0.0,0.0,0.0,0.058823529411764705,0.47058823529411764,0.23529411764705882
2024-01-04,ëÂë∫,5,ó\ëI,2,3501,êÏè„è∏ïΩ,54,í∑çË,55,B1,4.92,25.3,5.38,33.85,50,30.22,12,36.62,ê∞,ìå,1,1,6.91,4,ì¶Ç∞,2,0.12,1.53.2,0.1651351351351351,0.1541626794258373,0.06451612903225806,0.3225806451612903,0.22580645161290322,0.0,0.6451612903225806,0.03225806451612903,0.03225806451612903,0.0,0.0,0.0,0.0
2024-01-04,ëÂë∫,5,ó\ëI,3,4301,ä÷Å@óTñÁ,40,ïüâ™,52,B1,4.67,33.33,6.26,51.28,25,38.35,66,16.54,ê∞,ìå,1,1,6.92,2,ì¶Ç∞,3,0.14,1.50.6,0.1785714285714285,0.1626543209876543,0.07142857142857142,0.25,0.32142857142857145,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0
2024-01-04,ëÂë∫,5,ó\ëI,4,4236,èºë∫Å@ïq,40,ïüâ™,54,A1,7.19,57.45,7.0,56.94,43,40.29,59,34.29,ê∞,ìå,1,1,6.86,3,ì¶Ç∞,4,0.17,1.51.3,0.115,0.1234558823529411,0.0,0.10344827586206896,0.10344827586206896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,ëÂë∫,5,ó\ëI,5,4088,ñÏìcèÀéq,43,í∑çË,46,B1,3.41,16.0,4.49,30.85,13,16.26,70,33.09,ê∞,ìå,1,1,6.83,6,ì¶Ç∞,5,0.23,.  .,0.1970967741935484,0.1959393939393939,0.0,0.1724137931034483,0.20689655172413793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,ëÂë∫,5,ó\ëI,6,5048,·¡íπçNëæ,29,í∑çË,56,B1,5.05,31.76,4.63,23.14,28,31.39,58,33.1,ê∞,ìå,1,1,6.82,5,ì¶Ç∞,6,0.17,.  .,0.2021428571428571,0.1793488372093023,0.0,0.17647058823529413,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,ëÂë∫,6,ó\ëI,1,4603,íJêÏè´ëæ,35,í∑çË,53,B1,4.66,25.81,5.15,33.1,26,25.19,57,27.5,ê∞,ìÏìå,1,1,6.81,1,ì¶Ç∞,1,0.06,1.47.5,0.15,0.1499056603773585,0.4782608695652174,0.21739130434782608,0.17391304347826086,0.4782608695652174,0.0,0.0,0.0,0.0,0.13043478260869565,0.17391304347826086,0.17391304347826086
2024-01-04,ëÂë∫,6,ó\ëI,2,4213,èdïxêLñÁ,39,í∑çË,54,B1,4.43,28.0,4.55,23.14,71,29.37,34,31.43,ê∞,ìÏìå,1,1,6.76,3,ì¶Ç∞,2,0.09,1.50.0,0.1884848484848484,0.1775113122171945,0.07142857142857142,0.21428571428571427,0.25,0.0,0.6428571428571429,0.07142857142857142,0.0,0.0,0.0,0.0,0.0
2024-01-04,ëÂë∫,6,ó\ëI,3,4096,êŒã¥ìπóF,42,í∑çË,53,A1,6.74,49.0,6.92,55.49,21,38.64,56,40.0,ê∞,ìÏìå,1,1,6.79,2,ì¶Ç∞,3,0.14,1.49.9,0.1446153846153846,0.1384680851063829,0.06666666666666667,0.16666666666666666,0.26666666666666666,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0
2024-01-04,ëÂë∫,6,ó\ëI,4,4919,ãgìc„ƒåÂ,32,í∑çË,52,A2,5.9,37.7,5.32,30.61,23,34.59,62,40.88,ê∞,ìÏìå,1,1,6.83,4,ì¶Ç∞,4,0.09,1.50.4,0.1548,0.1631073446327683,0.09523809523809523,0.19047619047619047,0.23809523809523808,0.0,0.0,0.047619047619047616,0.0,0.047619047619047616,0.0,0.0,0.0
2024-01-04,ëÂë∫,6,ó\ëI,5,5227,êÏå¥à§ñ¢,21,ïüâ™,51,B2,1.92,0.0,3.22,22.22,64,26.81,52,31.25,ê∞,ìÏìå,1,1,6.9,6,ì¶Ç∞,5,0.12,.  .,0.2241025641025641,0.2126271186440678,0.0,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,ëÂë∫,6,ó\ëI,6,3752,âFìyë◊èA,52,ïüâ™,55,B1,3.94,20.25,5.27,27.27,68,23.66,29,32.14,ê∞,ìÏìå,1,1,6.88,5,ì¶Ç∞,6,0.07,.  .,0.1564516129032258,0.1803947368421052,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,ëÂë∫,7,ó\ëI,1,4822,ïSïêÅ@„ƒ,31,ç≤âÍ,51,A2,4.81,22.22,6.13,44.87,30,22.5,31,48.95,ê∞,ìå,1,1,6.88,1,ì¶Ç∞,1,0.03,1.48.1,0.1451851851851852,0.1937430167597765,0.5172413793103449,0.13793103448275862,0.20689655172413793,0.5172413793103449,0.0,0.0,0.0,0.0,0.10344827586206896,0.1724137931034483,0.13793103448275862
2024-01-04,ëÂë∫,7,ó\ëI,2,4855,ç]ì™å´ëæ,27,í∑çË,54,B2,3.8,17.5,3.86,19.57,18,36.3,67,30.88,ê∞,ìå,1,1,6.84,6,ì¶Ç∞,2,0.07,.  .,0.188,0.1873880597014925,0.10714285714285714,0.42857142857142855,0.03571428571428571,0.0,0.42857142857142855,0.10714285714285714,0.0,0.0,0.0,0.0,0.0
2024-01-04,ëÂë∫,7,ó\ëI,3,5195,ñkë∫îJÅX,22,í∑çË,44,B1,4.19,22.08,2.9,9.52,17,45.65,37,37.21,ê∞,ìå,1,1,6.89,4,ì¶Ç∞,3,0.02,1.52.1,0.176,0.18,0.1,0.2,0.13333333333333333,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0
2024-01-04,ëÂë∫,7,ó\ëI,4,4715,ë∫è„Å@ó…,31,í∑çË,54,A1,6.64,54.64,7.51,63.38,38,27.61,48,30.22,ê∞,ìå,1,1,6.89,2,ì¶Ç∞,4,0.02,1.49.7,0.12,0.1286285714285714,0.06451612903225806,0.22580645161290322,0.22580645161290322,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0
2024-01-04,ëÂë∫,7,ó\ëI,5,3964,ã{ínîéém,44,í∑çË,55,B1,4.39,21.33,4.02,17.09,58,23.31,15,34.48,ê∞,ìå,1,1,6.85,5,ì¶Ç∞,5,0.08,.  .,0.2144736842105263,0.1992647058823529,0.07692307692307693,0.07692307692307693,0.038461538461538464,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0
2024-01-04,ëÂë∫,7,ó\ëI,6,3944,éRå˚óTìÒ,44,í∑çË,54,A2,6.03,38.71,6.68,50.93,16,29.63,16,31.36,ê∞,ìå,1,1,6.85,3,ì¶Ç∞,6,0.11,1.51.3,0.212,0.1719402985074626,0.0,0.13043478260869565,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,ëÂë∫,8,ó\ëI,1,4948,ñÿèÍóIâÓ,31,í∑çË,52,A2,5.78,38.46,6.09,45.35,49,31.43,50,36.92,ê∞,ìå,1,1,6.83,1,ì¶Ç∞,1,0.06,1.47.7,0.146046511627907,0.1553231939163498,0.4406779661016949,0.22033898305084745,0.13559322033898305,0.4067796610169492,0.0,0.0,0.0,0.0,0.1694915254237288,0.1864406779661017,0.13559322033898305
2024-01-04,ëÂë∫,8,ó\ëI,2,4497,åKå¥Å@óI,36,í∑çË,52,A1,6.92,48.19,7.26,58.24,15,30.43,76,24.79,ê∞,ìå,1,1,6.85,2,ì¶Ç∞,2,0.06,1.48.7,0.1454054054054054,0.1543722943722943,0.1956521739130435,0.32608695652173914,0.1956521739130435,0.08695652173913043,0.5,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,0.0
2024-01-04,ëÂë∫,8,ó\ëI,3,4695,îˆçËóYìÒ,38,í∑çË,54,B1,4.0,16.44,4.43,21.62,11,28.81,63,35.56,ê∞,ìå,1,1,6.94,5,ì¶Ç∞,3,0.15,.  .,0.1927272727272727,0.1977611940298507,0.21739130434782608,0.30434782608695654,0.15217391304347827,0.06521739130434782,0.0,0.08695652173913043,0.06521739130434782,0.0,0.0,0.0,0.0
2024-01-04,ëÂë∫,8,ó\ëI,4,4498,ã{ñ{âƒé˜,36,í∑çË,54,B1,5.21,31.48,5.88,41.9,53,25.0,11,27.82,ê∞,ìå,1,1,6.85,3,ì¶Ç∞,4,0.08,1.49.6,0.1515,0.1570384615384615,0.23076923076923078,0.28205128205128205,0.1794871794871795,0.0,0.0,0.07692307692307693,0.1282051282051282,0.0,0.0,0.0,0.0
2024-01-04,ëÂë∫,8,ó\ëI,5,4638,è¨ó—ó…ëæ,33,ïüâ™,55,B1,4.88,32.58,4.04,26.09,24,25.19,53,29.58,ê∞,ìå,1,1,6.86,4,ì¶Ç∞,5,0.11,1.52.2,0.1986486486486486,0.1894366197183098,0.1590909090909091,0.20454545454545456,0.1590909090909091,0.0,0.0,0.045454545454545456,0.06818181818181818,0.0,0.0,0.0,0.0
2024-01-04,ëÂë∫,8,ó\ëI,6,4332,ë∫è„è≤àÍ,40,ïüâ™,56,B1,3.38,10.42,4.78,28.13,37,29.2,26,23.14,ê∞,ìå,1,1,6.85,6,ì¶Ç∞,6,0.07,.  .,0.1905,0.180703125,0.2127659574468085,0.19148936170212766,0.23404255319148937,0.02127659574468085,0.0,0.06382978723404255,0.0851063829787234,0.0,0.0,0.0,0.0
2024-01-04,ëÂë∫,9,ó\ëI,1,4299,íÜìáç_ç∆,41,í∑çË,56,B1,4.5,25.64,4.91,24.82,59,28.57,49,27.91,ê∞,ìÏìå,1,1,6.89,2,ç∑Çµ,1,0.06,1.49.2,0.1427999999999999,0.1469354838709677,0.21428571428571427,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.0,0.25,0.39285714285714285,0.07142857142857142
2024-01-04,ëÂë∫,9,ó\ëI,2,4236,èºë∫Å@ïq,40,ïüâ™,54,A1,7.19,57.45,7.0,56.94,43,40.29,59,34.29,ê∞,ìÏìå,1,1,6.86,1,ç∑Çµ,2,0.11,1.48.6,0.1133333333333333,0.1234558823529411,0.07894736842105263,0.34210526315789475,0.10526315789473684,0.0,0.5789473684210527,0.07894736842105263,0.0,0.0,0.0,0.0,0.0
2024-01-04,ëÂë∫,9,ó\ëI,3,4966,ìcêÏëÂãM,26,í∑çË,55,A2,6.06,40.86,5.97,40.35,60,33.09,74,39.26,ê∞,ìÏìå,1,1,6.92,4,ç∑Çµ,3,0.13,1.51.4,0.134,0.1376892430278884,0.0,0.08571428571428572,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,ëÂë∫,9,ó\ëI,4,3843,è„îVçWçO,47,í∑çË,53,A2,4.87,27.54,4.98,30.59,29,31.54,64,40.29,ê∞,ìÏìå,1,1,6.86,3,ç∑Çµ,4,0.16,1.50.9,0.1423809523809523,0.1674793388429752,0.0,0.18181818181818182,0.21212121212121213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,ëÂë∫,9,ó\ëI,5,4705,ãgêÏóEçÏ,35,í∑çË,54,B1,4.15,23.53,4.39,25.49,70,36.36,41,36.17,ê∞,ìÏìå,1,1,6.88,6,ç∑Çµ,5,0.19,.  .,0.13725,0.1610502283105023,0.0,0.11428571428571428,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,ëÂë∫,9,ó\ëI,6,4393,ìcíÜçFñæ,37,ïüâ™,58,B2,3.05,3.33,4.65,16.13,31,22.96,40,38.69,ê∞,ìÏìå,1,1,6.9,5,ç∑Çµ,6,0.19,.  .,0.2208333333333333,0.184,0.0,0.08,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,ëÂë∫,10,ó\ëIì¡ëI,1,4096,êŒã¥ìπóF,42,í∑çË,53,A1,6.74,49.0,6.92,55.49,21,38.64,56,40.0,ê∞,ìå,1,1,6.79,1,ì¶Ç∞,1,0.17,1.48.1,0.1416666666666666,0.1384680851063829,0.775,0.05,0.075,0.75,0.0,0.0,0.0,0.0,0.025,0.15,0.025
2024-01-04,ëÂë∫,10,ó\ëIì¡ëI,2,4151,â∫âÕó_éj,41,ïüâ™,53,B1,5.66,30.11,4.59,18.18,51,37.98,27,37.23,ê∞,ìå,1,1,6.83,2,ì¶Ç∞,2,0.24,1.49.2,0.209,0.1984905660377358,0.1282051282051282,0.4358974358974359,0.1794871794871795,0.0,0.6153846153846154,0.07692307692307693,0.05128205128205128,0.0,0.0,0.0,0.0
2024-01-04,ëÂë∫,10,ó\ëIì¡ëI,3,4315,éRçËçVâÓ,39,í∑çË,53,B1,4.92,29.29,5.85,38.71,74,45.59,22,29.37,ê∞,ìå,1,1,6.77,5,ì¶Ç∞,3,0.17,.  .,0.163695652173913,0.1809652509652509,0.08333333333333333,0.3611111111111111,0.1388888888888889,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0
2024-01-04,ëÂë∫,10,ó\ëIì¡ëI,4,3527,íÜìàêΩàÍ,52,í∑çË,50,A2,5.07,31.86,5.96,41.4,32,48.87,20,40.0,ê∞,ìå,1,1,6.9,3,ì¶Ç∞,4,0.14,1.50.7,0.1687999999999999,0.1558471760797342,0.10344827586206896,0.10344827586206896,0.20689655172413793,0.0,0.0,0.0,0.10344827586206896,0.0,0.0,0.0,0.0
2024-01-04,ëÂë∫,10,ó\ëIì¡ëI,5,4259,ê^íÎñæéu,39,í∑çË,53,A2,5.83,40.57,6.02,42.02,12,29.93,73,34.51,ê∞,ìå,1,1,6.89,4,ì¶Ç∞,5,0.16,1.50.7,0.1604761904761905,0.1532014388489208,0.12903225806451613,0.0967741935483871,0.16129032258064516,0.0,0.0,0.0,0.03225806451612903,0.06451612903225806,0.0,0.0,0.0
2024-01-04,ëÂë∫,10,ó\ëIì¡ëI,6,4301,ä÷Å@óTñÁ,40,ïüâ™,52,B1,4.67,33.33,6.26,51.28,25,38.35,66,16.54,ê∞,ìå,1,1,6.91,6,ì¶Ç∞,6,0.17,.  .,0.18,0.1626543209876543,0.0,0.03225806451612903,0.25806451612903225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,ëÂë∫,11,ó\ëIì¡ëI,1,4715,ë∫è„Å@ó…,31,í∑çË,54,A1,6.64,54.64,7.51,63.38,38,27.61,48,30.22,ê∞,ìå,1,1,6.87,1,ì¶Ç∞,1,0.12,1.47.3,0.1331428571428571,0.1286285714285714,0.17857142857142858,0.21428571428571427,0.14285714285714285,0.17857142857142858,0.0,0.0,0.0,0.0,0.35714285714285715,0.35714285714285715,0.07142857142857142
2024-01-04,ëÂë∫,11,ó\ëIì¡ëI,2,4352,â∫ûäóYëæ,37,í∑çË,52,A2,7.15,54.41,7.27,57.63,39,41.91,19,30.88,ê∞,ìå,1,1,6.82,2,ì¶Ç∞,2,0.09,1.49.1,0.1269444444444444,0.1308837209302325,0.10810810810810811,0.08108108108108109,0.24324324324324326,0.0,0.5405405405405406,0.10810810810810811,0.0,0.0,0.0,0.0,0.0
