レース場,レース番号,レース種別,天候,風向,風速(m),波高(cm),決まり手,着順,艇番,登録番号,選手名,モーター,ボート,展示タイム,進入,スタートタイミング,レースタイム
桐生,5,予選,晴,東,3,2,差し,01,2,4080,山崎哲司,56,28,6.78,2,0.03,1.50.1
桐生,5,予選,晴,東,3,2,差し,02,1,3462,竹上真司,52,40,6.81,1,0.07,1.52.0
桐生,5,予選,晴,東,3,2,差し,03,6,4096,石橋道友,41,69,6.76,6,0.19,1.54.7
桐生,5,予選,晴,東,3,2,差し,04,3,4889,後藤盛也,43,66,6.76,3,0.04,1.55.3
桐生,5,予選,晴,東,3,2,差し,05,4,5276,大島隆乃介,48,27,6.86,4,0.14,1.56.1
桐生,5,予選,晴,東,3,2,差し,06,5,4640,山ノ内雅人,36,59,6.76,5,0.11,1.58.9
桐生,6,ドラドキ目玉,晴,東,1,1,差し,01,4,4681,太田潮,47,67,6.85,4,0.30,1.52.1
桐生,6,ドラドキ目玉,晴,東,1,1,差し,02,6,3947,寺本昇平,32,37,6.89,6,0.29,1.52.8
桐生,6,ドラドキ目玉,晴,東,1,1,差し,03,1,4486,野村誠,70,13,6.89,1,0.21,1.54.7
桐生,6,ドラドキ目玉,晴,東,1,1,差し,04,3,4899,占部一真,66,71,6.90,3,0.11,1.55.1
桐生,6,ドラドキ目玉,晴,東,1,1,差し,05,5,4186,小川時光,58,21,6.91,5,0.29,1.56.1
桐生,6,ドラドキ目玉,晴,東,1,1,差し,06,2,3741,松尾基成,54,45,6.92,2,0.21,1.57.1
桐生,7,ドラドキ３,晴,東,2,1,まくり差し,01,3,4124,池田雄一,40,49,6.87,3,0.25,1.51.6
桐生,7,ドラドキ３,晴,東,2,1,まくり差し,02,1,3988,古川誠之,26,62,6.83,1,0.19,1.53.2
桐生,7,ドラドキ３,晴,東,2,1,まくり差し,03,4,4204,柴田大輔,67,22,6.75,4,0.20,1.54.4
桐生,7,ドラドキ３,晴,東,2,1,まくり差し,04,6,4078,渡辺史之,75,42,6.86,5,0.24,1.56.9
桐生,7,ドラドキ３,晴,東,2,1,まくり差し,05,5,5292,佐藤右京,11,31,6.76,6,0.28,1.57.0
桐生,7,ドラドキ３,晴,東,2,1,まくり差し,06,2,4663,籾山佳岳,29,63,6.82,2,0.27,1.57.5
桐生,8,ドラドキ５,晴,南東,1,1,逃げ,01,1,4214,林祐介,20,73,6.78,1,0.05,1.51.6
桐生,8,ドラドキ５,晴,南東,1,1,逃げ,02,3,4834,浜本裕己,24,17,6.78,3,0.08,1.52.7
桐生,8,ドラドキ５,晴,南東,1,1,逃げ,03,2,4740,齋藤達希,17,30,6.74,2,0.12,1.54.0
桐生,8,ドラドキ５,晴,南東,1,1,逃げ,04,4,3419,栗原謙治,63,20,6.86,4,0.13,1.55.7
桐生,8,ドラドキ５,晴,南東,1,1,逃げ,05,6,5253,藤井太雅,45,74,6.85,5,0.07,1.56.5
桐生,8,ドラドキ５,晴,南東,1,1,逃げ,06,5,4535,北山康介,51,58,6.82,6,0.07,1.56.6
桐生,9,予選特賞,曇り,北東,1,1,まくり,01,2,4926,吉川貴仁,72,39,6.75,2,0.18,1.51.8
桐生,9,予選特賞,曇り,北東,1,1,まくり,02,4,3462,竹上真司,52,40,6.88,4,0.17,1.52.7
桐生,9,予選特賞,曇り,北東,1,1,まくり,03,3,3613,角谷健吾,68,12,6.91,3,0.23,1.54.2
桐生,9,予選特賞,曇り,北東,1,1,まくり,04,6,4641,磯村匠,46,44,6.78,6,0.13,1.54.9
桐生,9,予選特賞,曇り,北東,1,1,まくり,05,1,4273,佐藤旭,50,35,6.73,1,0.22,1.56.1
桐生,9,予選特賞,曇り,北東,1,1,まくり,06,5,4415,下出卓矢,38,50,6.85,5,0.16,1.57.6
桐生,10,予選特賞,雨,東,1,1,まくり,01,6,5122,相馬翔,22,41,6.81,6,0.10,1.51.1
桐生,10,予選特賞,雨,東,1,1,まくり,02,2,4718,北川太一,27,54,6.83,2,0.24,1.51.7
桐生,10,予選特賞,雨,東,1,1,まくり,03,3,4793,金子萌,21,34,6.88,3,0.23,1.54.2
桐生,10,予選特賞,雨,東,1,1,まくり,04,4,4096,石橋道友,41,69,6.83,4,0.19,1.54.3
桐生,10,予選特賞,雨,東,1,1,まくり,05,1,4092,岡部大輔,16,15,6.70,1,0.18,1.56.5
桐生,10,予選特賞,雨,東,1,1,まくり,06,5,4664,東口晃,74,64,6.78,5,0.20,1.57.8
桐生,11,予選特選,雨,北西,3,2,まくり差し,01,5,5197,中野仁照,71,29,6.74,5,0.04,1.50.2
桐生,11,予選特選,雨,北西,3,2,まくり差し,02,3,3946,赤岩善生,12,24,6.79,3,0.11,1.52.1
