レース場,レース番号,レース種別,艇番,登録番号,選手名,モーター番号,ボート番号,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム
多摩川,11,準優勝戦,4,4930,佐藤悠,33,78,晴,南東,3,2,6.71,05,逃げ,6,0.24,.  .
多摩川,11,準優勝戦,3,5267,石本裕武,39,49,晴,南東,3,2,6.81,06,逃げ,3,0.28,.  .
多摩川,12,準優勝戦,1,4939,宮之原輝紀,35,48,晴,南東,2,2,6.79,01,逃げ,1,0.06,1.48.1
多摩川,12,準優勝戦,2,4914,吉田裕平,73,73,晴,南東,2,2,6.71,02,逃げ,2,0.09,1.48.9
多摩川,12,準優勝戦,3,4910,中村泰平,32,27,晴,南東,2,2,6.75,03,逃げ,3,0.12,1.51.9
多摩川,12,準優勝戦,4,4934,佐々木翔斗,63,26,晴,南東,2,2,6.73,04,逃げ,4,0.15,1.53.1
多摩川,12,準優勝戦,6,5087,佐藤航,18,33,晴,南東,2,2,6.77,05,逃げ,6,0.14,.  .
多摩川,12,準優勝戦,5,4959,井上忠政,43,43,晴,南東,2,2,6.74,06,逃げ,5,0.14,.  .
平和島,1,予選,1,3105,内山文典,33,64,晴,東,1,3,6.89,01,逃げ,1,0.17,1.51.6
平和島,1,予選,6,4851,関浩哉,28,70,晴,東,1,3,6.92,02,逃げ,5,0.15,1.53.1
平和島,1,予選,3,4558,宮野仁,45,28,晴,東,1,3,6.89,03,逃げ,3,0.23,1.53.8
平和島,1,予選,4,4898,菊地敬介,69,12,晴,東,1,3,6.87,04,逃げ,4,0.13,1.55.8
平和島,1,予選,2,5321,一色颯輝,60,30,晴,東,1,3,6.90,05,逃げ,2,0.17,.  .
平和島,1,予選,5,5341,山道諄也,50,60,晴,東,1,3,6.88,06,逃げ,6,0.30,.  .
平和島,2,東京ベイラン,1,3415,松井繁,35,59,晴,南,3,3,6.80,01,逃げ,1,0.15,1.51.4
平和島,2,東京ベイラン,2,5076,石原光,72,68,晴,南,3,3,6.95,02,逃げ,2,0.19,1.53.4
平和島,2,東京ベイラン,4,5175,島崎丈一朗,65,23,晴,南,3,3,6.92,03,逃げ,4,0.14,1.55.4
平和島,2,東京ベイラン,6,3901,松田憲幸,73,56,晴,南,3,3,7.07,04,逃げ,6,0.23,1.56.4
平和島,2,東京ベイラン,3,5201,村上宗太郎,39,55,晴,南,3,3,6.86,05,逃げ,3,0.21,.  .
平和島,2,東京ベイラン,5,3642,大塚浩二,64,27,晴,南,3,3,6.94,06,逃げ,5,0.19,.  .
平和島,3,予選,1,5044,渡邉健,24,69,晴,南,2,3,6.88,01,恵まれ,2,0.01,1.52.1
平和島,3,予選,4,4152,深水慎一郎,57,65,晴,南,2,3,6.96,02,恵まれ,4,0.16,1.52.9
平和島,3,予選,5,4524,深谷知博,19,57,晴,南,2,3,6.90,03,恵まれ,5,0.13,1.53.4
平和島,3,予選,3,4382,高山智至,68,21,晴,南,2,3,7.10,04,恵まれ,3,0.04,1.56.5
平和島,3,予選,6,4840,鈴木秀茉,61,29,晴,南,2,3,6.88,05,恵まれ,6,0.12,.  .
平和島,4,予選,2,3783,瓜生正義,11,11,晴,南,2,3,6.80,01,まくり,2,0.07,1.50.5
平和島,4,予選,3,5244,黒田剛,67,10,晴,南,2,3,6.99,02,まくり,3,0.08,1.52.9
平和島,4,予選,4,3075,中村裕将,52,17,晴,南,2,3,7.05,03,まくり,4,0.10,1.54.1
平和島,4,予選,5,3956,横澤剛治,22,71,晴,南,2,3,7.03,04,まくり,5,0.15,1.55.7
平和島,4,予選,6,4435,服部達哉,75,19,晴,南,2,3,6.98,05,まくり,6,0.28,.  .
平和島,4,予選,1,3790,佐口達也,70,72,晴,南,2,3,6.95,06,まくり,1,0.21,.  .
平和島,5,予選,2,5269,山口晃朋,34,67,晴,南東,2,3,6.81,01,差し,2,0.08,1.50.2
平和島,5,予選,4,4266,長田頼宗,55,61,晴,南東,2,3,6.92,02,差し,4,0.09,1.52.6
平和島,5,予選,5,4262,馬場貴也,16,13,晴,南東,2,3,6.99,03,差し,5,0.09,1.53.2
平和島,5,予選,1,4684,楠原翔太,40,26,晴,南東,2,3,6.93,04,差し,1,0.05,1.53.8
平和島,5,予選,3,4438,森作雄大,13,74,晴,南東,2,3,7.00,05,差し,3,0.05,.  .
平和島,5,予選,6,5394,福西広太郎,71,24,晴,南東,2,3,7.03,06,差し,6,0.04,.  .
平和島,6,予選,3,4851,関浩哉,28,70,晴,南,2,3,6.81,01,まくり,3,0.23,1.50.7
平和島,6,予選,2,3686,鳥居塚孝博,46,14,晴,南,2,3,6.96,02,まくり,2,0.12,1.52.5
平和島,6,予選,1,4396,大田直弥,74,75,晴,南,2,3,6.91,03,まくり,1,0.16,1.53.6
平和島,6,予選,4,5073,上原健次郎,62,16,晴,南,2,3,6.83,04,まくり,4,0.22,1.54.3
平和島,6,予選,6,3942,寺田祥,15,58,晴,南,2,3,6.93,05,まくり,6,0.14,.  .
平和島,6,予選,5,5175,島崎丈一朗,65,23,晴,南,2,3,6.90,06,まくり,5,0.19,.  .
平和島,7,予選,1,4669,井上茂,59,20,晴,南東,2,3,6.90,01,逃げ,1,0.02,1.50.7
平和島,7,予選,2,4467,渡邉俊介,63,62,晴,南東,2,3,6.90,02,逃げ,2,0.11,1.53.0
平和島,7,予選,5,4362,土屋智則,66,66,晴,南東,2,3,6.95,03,逃げ,5,0.15,1.54.6
平和島,7,予選,6,4558,宮野仁,45,28,晴,南東,2,3,6.86,04,逃げ,6,0.32,1.55.5
平和島,7,予選,4,4666,日笠勝弘,14,25,晴,南東,2,3,6.93,05,逃げ,4,0.16,.  .
平和島,7,予選,3,3415,松井繁,35,59,晴,南東,2,3,6.87,06,逃げ,3,0.10,.  .
平和島,8,ベイブレイク,1,4152,深水慎一郎,57,65,晴,南,3,3,6.89,01,逃げ,1,0.04,1.50.7
平和島,8,ベイブレイク,4,4418,茅原悠紀,43,15,晴,南,3,3,6.83,02,逃げ,4,0.12,1.51.3
平和島,8,ベイブレイク,2,5244,黒田剛,67,10,晴,南,3,3,6.91,03,逃げ,2,0.06,1.53.7
平和島,8,ベイブレイク,3,3642,大塚浩二,64,27,晴,南,3,3,6.99,04,逃げ,3,0.08,1.55.0
平和島,8,ベイブレイク,5,4329,小松卓司,56,73,晴,南,3,3,6.91,05,逃げ,5,0.15,.  .
平和島,8,ベイブレイク,6,5341,山道諄也,50,60,晴,南,3,3,6.91,06,逃げ,6,0.16,.  .
平和島,9,予選特賞,2,3956,横澤剛治,22,71,晴,南,3,3,6.83,01,逃げ,1,0.13,1.51.8
平和島,9,予選特賞,5,5269,山口晃朋,34,67,晴,南,3,3,6.80,02,逃げ,4,0.16,1.52.4
平和島,9,予選特賞,3,4898,菊地敬介,69,12,晴,南,3,3,6.90,03,逃げ,2,0.11,1.53.6
平和島,9,予選特賞,4,3901,松田憲幸,73,56,晴,南,3,3,6.93,04,逃げ,3,0.17,1.55.2
平和島,9,予選特賞,6,4238,毒島誠,38,18,晴,南,3,3,6.99,05,逃げ,5,0.32,.  .
平和島,10,予選特賞,1,5234,塚越海斗,58,63,晴,南,2,3,6.87,01,逃げ,1,0.17,1.51.6
平和島,10,予選特賞,2,5201,村上宗太郎,39,55,晴,南,2,3,6.86,02,逃げ,2,0.21,1.52.9
平和島,10,予選特賞,4,4262,馬場貴也,16,13,晴,南,2,3,6.94,03,逃げ,4,0.19,1.53.7
平和島,10,予選特賞,5,3790,佐口達也,70,72,晴,南,2,3,7.01,04,逃げ,5,0.19,1.54.8
平和島,10,予選特賞,3,4524,深谷知博,19,57,晴,南,2,3,6.87,05,逃げ,3,0.14,.  .
平和島,10,予選特賞,6,5073,上原健次郎,62,16,晴,南,2,3,6.87,06,逃げ,6,0.19,.  .
平和島,11,予選特選,1,4362,土屋智則,66,66,晴,南,3,3,6.85,01,逃げ,1,0.18,1.50.3
平和島,11,予選特選,6,3686,鳥居塚孝博,46,14,晴,南,3,3,6.91,02,逃げ,6,0.21,1.52.3
平和島,11,予選特選,5,5321,一色颯輝,60,30,晴,南,3,3,6.94,03,逃げ,5,0.14,1.53.3
平和島,11,予選特選,4,3783,瓜生正義,11,11,晴,南,3,3,6.88,04,逃げ,4,0.15,1.54.4
平和島,11,予選特選,2,4438,森作雄大,13,74,晴,南,3,3,6.86,05,逃げ,2,0.16,.  .
平和島,11,予選特選,3,4840,鈴木秀茉,61,29,晴,南,3,3,6.84,06,逃げ,3,0.17,.  .
平和島,12,記者選抜,1,4418,茅原悠紀,43,15,晴,南,3,3,6.88,01,逃げ,1,0.11,1.49.5
平和島,12,記者選抜,5,4266,長田頼宗,55,61,晴,南,3,3,7.01,02,逃げ,5,0.19,1.52.6
平和島,12,記者選抜,4,4435,服部達哉,75,19,晴,南,3,3,7.07,03,逃げ,4,0.14,1.53.5
平和島,12,記者選抜,2,4669,井上茂,59,20,晴,南,3,3,6.96,04,逃げ,2,0.14,1.55.2
平和島,12,記者選抜,3,3942,寺田祥,15,58,晴,南,3,3,6.96,05,逃げ,3,0.12,.  .
平和島,12,記者選抜,6,4382,高山智至,68,21,晴,南,3,3,7.11,06,逃げ,6,0.23,.  .
桐生,1,予選,2,4360,庄司孝輔,32,15,晴,東,4,3,6.83,01,まくり,2,0.21,1.51.0
桐生,1,予選,1,3827,今泉徹,25,40,晴,東,4,3,6.82,02,まくり,1,0.32,1.53.3
桐生,1,予選,6,4225,土屋千明,70,28,晴,東,4,3,6.91,03,まくり,3,0.16,1.53.9
桐生,1,予選,4,4740,齋藤達希,15,32,晴,東,4,3,6.86,04,まくり,5,0.22,1.55.4
桐生,1,予選,3,5082,一色凌雅,73,69,晴,東,4,3,6.87,05,まくり,4,0.28,1.57.5
桐生,1,予選,5,5415,阿部未侑,21,66,晴,東,4,3,6.95,06,まくり,6,0.27,1.59.4
桐生,2,予選,4,5333,山下智己,62,60,晴,東,4,3,6.77,01,まくり,6,0.12,1.51.3
桐生,2,予選,1,5182,宮崎安奈,65,29,晴,東,4,3,6.83,02,まくり,1,0.20,1.52.7
桐生,2,予選,2,4120,柘植政浩,11,64,晴,東,4,3,6.87,03,まくり,2,0.19,1.53.9
桐生,2,予選,5,4594,谷川祐一,12,43,晴,東,4,3,6.80,04,まくり,4,0.30,1.55.0
桐生,2,予選,6,4874,池田奈津美,53,56,晴,東,4,3,6.75,05,まくり,5,0.20,1.56.6
桐生,2,予選,3,5167,小川竜太朗,44,50,晴,東,4,3,6.85,06,まくり,3,0.24,1.59.6
桐生,3,予選,2,4654,篠田優也,42,68,晴,東,4,3,6.85,01,差し,2,0.20,1.51.6
桐生,3,予選,1,5131,江藤敦宏,45,39,晴,東,4,3,6.84,02,差し,1,0.22,1.53.0
桐生,3,予選,6,5035,櫻井優,38,26,晴,東,4,3,6.82,03,差し,6,0.31,1.54.4
桐生,3,予選,3,3579,中里優子,64,13,晴,東,4,3,6.80,04,差し,3,0.24,1.55.6
桐生,3,予選,4,4136,江夏満,74,74,晴,東,4,3,6.85,05,差し,4,0.23,1.56.4
桐生,3,予選,5,3947,寺本昇平,72,46,晴,東,4,3,6.98,06,差し,5,0.25,1.57.0
桐生,4,予選,1,4694,高田綾,34,16,晴,東,4,3,6.71,01,逃げ,1,0.20,1.51.7
桐生,4,予選,2,3550,都築正治,58,22,晴,東,4,3,6.71,02,逃げ,2,0.29,1.53.5
