,original_index,日付,レース場,レース番号,正解1着艇,1号艇勝利確率,2号艇勝利確率,3号艇勝利確率,4号艇勝利確率,5号艇勝利確率,6号艇勝利確率,1号艇確率,2号艇確率,3号艇確率,4号艇確率,5号艇確率,6号艇確率
3423,17372,2024-09-09,津,8,1,0.27492011331950295,0.11870817781663404,0.14865761823826779,0.16805759834861392,0.19520493983602766,0.09445155244095375,0.8155631282103818,0.5789000390771524,0.4845399514610792,0.5281137081606193,0.40593507981456817,0.2678735958727477
3424,17377,2024-09-09,浜名湖,5,3,0.07802581629356964,0.2907052942226455,0.09456924320891338,0.1336879814719978,0.021251843264622875,0.3817598215382508,0.7278481865115741,0.7848302581389667,0.4792338802171891,0.28291448447338813,0.13794221656007705,0.6324138716851141
3425,17385,2024-09-09,福岡,9,4,0.13504139489443154,0.12657834749441885,0.2772010172070891,0.22955447492544853,0.07884287234230944,0.1527818931363026,0.6723378592355742,0.5132837047824235,0.5971331768275748,0.6136581403678487,0.27134681287147594,0.38725315712865294
3426,17386,2024-09-09,芦屋,1,1,0.36020438515251274,0.2523029541276373,0.08580664718839823,0.0922251246805182,0.11601214037989077,0.09344874847104277,0.9212261704274955,0.75707339895614,0.3962935016265691,0.4407163841387484,0.27355905818920123,0.1841809995270177
3427,17390,2024-09-09,芦屋,5,1,0.4463298405893964,0.13642447920128006,0.06736074408062498,0.0446024001594379,0.137375956885609,0.1679065790836517,0.9480732899589412,0.7395412900950625,0.4494994542081577,0.28814051390103246,0.2848346701981326,0.43739201727516797
3428,17394,2024-09-10,下関,1,1,0.2237500224247634,0.06440245303503467,0.14353981579204936,0.16793254579822303,0.152251692803412,0.24812347014651756,0.8466579174353364,0.411551382114771,0.565719544274672,0.4147567127191076,0.450629795121288,0.4466927910803633
3429,17395,2024-09-10,下関,3,2,0.09917358371895724,0.12627470483823425,0.5004290849101674,0.05648445615596439,0.16986340593206853,0.04777476444460824,0.8038304120645714,0.36204954078776447,0.7953636436851956,0.24076630859293044,0.5732407826917468,0.2861946903447445
3430,17396,2024-09-10,下関,4,1,0.10983210431503115,0.216183847298057,0.03814545166564743,0.06631340199578908,0.560441146333508,0.009084048391967426,0.7807065955996939,0.7630989049069254,0.14715874333181925,0.339553824877018,0.8193678287122714,0.04615064317924189
3431,17398,2024-09-10,下関,6,1,0.08597272665471906,0.12708002608463095,0.30786082969359757,0.08836655641361855,0.26578284282237424,0.12493701833105965,0.5948743882242383,0.43544240833191405,0.730235219357202,0.26403530904663924,0.5989950754034422,0.3841877691928984
3432,17399,2024-09-10,下関,7,1,0.0755519468211664,0.2635450570117636,0.07325279260653875,0.17946659758379918,0.04497120387313328,0.36321240210359873,0.6525081832483263,0.7277887189134372,0.37450717818369533,0.6191240001562452,0.16693326124055746,0.49545898358784457
